LSOA11CD,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,population_mean_2019_2022
E01003781,0.3,0.3,0.3,0.15,0.15,0.44,0.25,0.64,0.54,0.3,3.36,2025
E01003782,0.28,0.34,0.34,0.17,0.17,0.51,0.34,0.63,0.74,0.46,3.98,1758
E01003783,0.23,0.35,0.23,0.12,0.12,0.43,0.23,0.51,0.51,0.23,2.95,2572
E01003784,0.29,0.29,0.29,0.15,0.1,0.44,0.15,0.44,0.64,0.39,3.18,2046
E01003785,0.29,0.38,0.24,0.14,0.1,0.43,0.24,0.43,0.62,0.38,3.24,2099
E01003786,0.38,0.38,0.31,0.19,0.13,0.56,0.31,0.56,0.69,0.38,3.88,1599
E01003787,0.36,0.48,0.36,0.12,0.18,0.48,0.36,0.54,0.54,0.36,3.77,1672
E01003788,0.31,0.42,0.31,0.16,0.1,0.47,0.31,0.58,0.58,0.31,3.57,1907
E01003789,0.42,0.56,0.42,0.21,0.14,0.63,0.35,0.63,0.63,0.56,4.54,1431
E01003790,0.33,0.52,0.39,0.2,0.2,0.52,0.33,0.59,0.72,0.39,4.17,1533
E01003791,0.33,0.52,0.39,0.2,0.13,0.59,0.2,0.59,0.72,0.39,4.04,1533
E01003792,0.35,0.56,0.35,0.21,0.14,0.63,0.14,0.77,0.77,0.42,4.34,1427
E01003793,0.32,0.5,0.38,0.19,0.19,0.5,0.38,0.82,0.69,0.38,4.35,1586
E01003794,0.33,0.39,0.39,0.2,0.13,0.52,0.33,0.59,0.85,0.39,4.11,1531
E01003795,0.39,0.63,0.47,0.24,0.24,0.71,0.39,0.87,0.87,0.47,5.29,1266
E01003796,0.31,0.5,0.37,0.19,0.12,0.56,0.37,0.5,0.68,0.37,3.96,1616
E01003797,0.42,0.42,0.35,0.21,0.14,0.56,0.21,0.78,0.78,0.56,4.45,1416
E01003798,0.42,0.56,0.42,0.21,0.21,0.56,0.35,0.92,0.64,0.42,4.73,1416
E01003799,0.31,0.49,0.37,0.18,0.12,0.49,0.31,0.8,0.68,0.37,4.13,1624
E01003800,0.33,0.54,0.33,0.2,0.13,0.54,0.4,0.74,0.87,0.4,4.48,1495
E01003801,0.39,0.63,0.39,0.24,0.24,0.71,0.47,1.02,0.86,0.47,5.42,1272
E01003802,0.36,0.58,0.22,0.15,0.15,0.36,0.22,0.65,0.65,0.44,3.77,1379
E01003803,0.33,0.39,0.39,0.2,0.13,0.59,0.33,0.85,0.59,0.52,4.3,1534
E01003804,0.16,0.42,0.32,0.11,0.0,0.47,0.26,0.68,0.58,0.32,3.32,1899
E01003805,0.29,0.46,0.17,0.17,0.12,0.46,0.17,0.64,0.64,0.35,3.47,1731
E01003806,0.4,0.4,0.4,0.2,0.13,0.6,0.33,0.73,0.73,0.4,4.33,1501
E01003807,0.25,0.4,0.3,0.15,0.15,0.45,0.3,0.65,0.55,0.3,3.51,1997
E01003808,0.16,0.42,0.32,0.11,0.0,0.48,0.32,0.69,0.58,0.42,3.5,1888
E01003809,0.35,0.47,0.35,0.12,0.12,0.52,0.29,0.76,0.64,0.35,3.95,1720
E01003810,0.37,0.37,0.37,0.12,0.12,0.37,0.31,0.67,0.55,0.49,3.73,1636
E01003811,0.32,0.27,0.32,0.16,0.11,0.48,0.16,0.48,0.48,0.32,3.11,1862
E01003812,0.32,0.43,0.32,0.16,0.11,0.48,0.27,0.69,0.59,0.32,3.67,1878
E01003813,0.19,0.5,0.37,0.19,0.12,0.5,0.37,0.56,0.56,0.37,3.72,1613
E01003814,0.28,0.45,0.28,0.17,0.11,0.5,0.17,0.61,0.61,0.33,3.51,1797
E01003815,0.3,0.39,0.3,0.15,0.15,0.44,0.3,0.64,0.54,0.3,3.5,2026
E01003816,0.3,0.47,0.36,0.18,0.18,0.53,0.3,0.77,0.65,0.36,4.09,1689
E01003817,0.31,0.41,0.31,0.15,0.15,0.46,0.31,0.66,0.56,0.31,3.62,1959
E01003818,0.36,0.48,0.3,0.18,0.18,0.55,0.12,0.55,0.55,0.36,3.63,1651
E01003819,0.28,0.45,0.34,0.17,0.17,0.51,0.34,0.73,0.62,0.34,3.94,1776
E01003820,0.3,0.39,0.3,0.15,0.15,0.44,0.15,0.54,0.54,0.39,3.35,2030
E01003821,0.35,0.47,0.35,0.18,0.12,0.47,0.35,0.76,0.76,0.35,4.16,1708
E01003822,0.2,0.41,0.2,0.14,0.14,0.54,0.14,0.54,0.61,0.41,3.32,1477
E01003823,0.3,0.47,0.35,0.18,0.12,0.47,0.3,0.77,0.65,0.35,3.96,1692
E01003824,0.37,0.49,0.31,0.18,0.12,0.49,0.18,0.55,0.8,0.37,3.86,1632
E01003825,0.28,0.45,0.34,0.11,0.11,0.34,0.34,0.62,0.62,0.34,3.54,1778
E01003826,0.33,0.44,0.33,0.17,0.11,0.5,0.17,0.61,0.61,0.33,3.58,1814
E01003827,0.3,0.4,0.3,0.15,0.15,0.4,0.25,0.66,0.56,0.3,3.49,1977
E01003828,0.32,0.32,0.19,0.19,0.13,0.39,0.19,0.52,0.71,0.39,3.37,1544
E01003829,0.3,0.48,0.36,0.18,0.18,0.53,0.36,0.77,0.77,0.36,4.28,1683
E01003830,0.27,0.43,0.27,0.16,0.11,0.43,0.16,0.59,0.59,0.43,3.41,1876
E01003831,0.35,0.47,0.29,0.18,0.12,0.35,0.18,0.64,0.53,0.35,3.44,1714
E01003832,0.33,0.39,0.39,0.2,0.2,0.59,0.33,0.59,0.59,0.39,4.0,1524
E01003833,0.34,0.55,0.41,0.21,0.14,0.62,0.41,0.89,0.75,0.41,4.73,1460
E01003834,0.35,0.47,0.35,0.18,0.18,0.53,0.29,0.76,0.53,0.35,3.99,1706
E01003835,0.31,0.49,0.37,0.12,0.0,0.49,0.18,0.68,0.68,0.37,3.69,1625
E01003836,0.36,0.58,0.43,0.22,0.14,0.43,0.22,0.65,0.8,0.43,4.27,1382
E01003837,0.24,0.38,0.29,0.14,0.1,0.38,0.24,0.43,0.43,0.29,2.9,2100
E01003838,0.17,0.45,0.34,0.17,0.17,0.51,0.28,0.73,0.62,0.45,3.88,1780
E01003839,0.22,0.35,0.27,0.13,0.13,0.4,0.13,0.49,0.4,0.35,2.87,2263
E01003840,0.33,0.44,0.33,0.17,0.17,0.5,0.28,0.61,0.61,0.33,3.74,1818
E01003841,0.28,0.37,0.28,0.14,0.14,0.42,0.28,0.61,0.61,0.37,3.49,2148
E01003842,0.35,0.46,0.35,0.17,0.17,0.52,0.29,0.64,0.64,0.35,3.94,1726
E01003843,0.23,0.37,0.27,0.14,0.14,0.37,0.23,0.5,0.5,0.37,3.11,2186
E01003844,0.34,0.41,0.34,0.2,0.14,0.75,0.2,0.61,0.75,0.41,4.16,1466
E01003845,0.34,0.46,0.34,0.17,0.11,0.46,0.29,0.52,0.63,0.34,3.68,1740
E01003846,0.29,0.35,0.29,0.18,0.12,0.47,0.18,0.64,0.64,0.35,3.51,1710
E01003847,0.3,0.48,0.36,0.18,0.12,0.54,0.36,0.77,0.54,0.48,4.11,1680
E01003848,0.26,0.42,0.26,0.16,0.1,0.47,0.16,0.68,0.47,0.42,3.4,1912
E01003849,0.39,0.51,0.32,0.19,0.13,0.51,0.32,0.71,0.71,0.39,4.18,1555
E01003851,0.31,0.5,0.31,0.12,0.12,0.5,0.31,0.69,0.56,0.37,3.8,1604
E01003852,0.43,0.57,0.43,0.22,0.14,0.65,0.36,0.79,0.79,0.43,4.81,1392
E01003853,0.35,0.56,0.42,0.21,0.14,0.63,0.35,0.63,0.91,0.42,4.63,1424
E01003854,0.41,0.55,0.41,0.21,0.21,0.62,0.41,0.9,0.76,0.41,4.91,1447
E01003855,0.31,0.41,0.31,0.15,0.15,0.46,0.26,0.56,0.56,0.41,3.58,1955
E01003856,0.36,0.48,0.3,0.12,0.12,0.54,0.3,0.66,0.66,0.36,3.9,1665
E01003857,0.26,0.42,0.32,0.16,0.11,0.42,0.16,0.58,0.58,0.32,3.31,1901
E01003858,0.3,0.49,0.36,0.12,0.12,0.49,0.36,0.79,0.67,0.36,4.06,1649
E01003859,0.31,0.49,0.37,0.12,0.12,0.55,0.18,0.67,0.55,0.37,3.72,1638
E01003860,0.28,0.45,0.34,0.17,0.11,0.5,0.28,0.73,0.62,0.34,3.81,1786
E01003861,0.25,0.4,0.3,0.1,0.15,0.4,0.25,0.64,0.55,0.4,3.42,2016
E01003862,0.26,0.41,0.31,0.15,0.15,0.46,0.31,0.67,0.57,0.31,3.6,1944
E01003863,0.42,0.56,0.35,0.21,0.21,0.76,0.42,0.9,0.62,0.42,4.86,1441
E01003864,0.4,0.53,0.33,0.2,0.13,0.6,0.4,0.87,0.73,0.4,4.61,1497
E01003865,0.41,0.55,0.41,0.21,0.21,0.41,0.34,0.89,0.75,0.41,4.59,1461
E01003866,0.3,0.36,0.36,0.12,0.18,0.36,0.18,0.48,0.66,0.36,3.35,1674
E01003867,0.31,0.5,0.38,0.19,0.19,0.56,0.19,0.69,0.56,0.38,3.94,1600
E01003868,0.31,0.5,0.19,0.19,0.12,0.5,0.31,0.81,0.68,0.37,3.97,1611
E01003869,0.3,0.48,0.36,0.18,0.12,0.54,0.3,0.78,0.54,0.36,3.96,1666
E01003870,0.24,0.29,0.24,0.14,0.14,0.43,0.29,0.62,0.62,0.38,3.41,2084
E01003871,0.29,0.46,0.17,0.17,0.17,0.34,0.29,0.63,0.63,0.34,3.5,1743
E01003872,0.31,0.5,0.38,0.19,0.19,0.57,0.19,0.69,0.69,0.38,4.09,1588
E01003873,0.36,0.48,0.3,0.18,0.18,0.55,0.36,0.79,0.67,0.36,4.24,1650
E01003874,0.32,0.51,0.32,0.19,0.0,0.57,0.32,0.83,0.51,0.51,4.07,1574
E01003875,0.35,0.47,0.29,0.18,0.18,0.53,0.18,0.53,0.53,0.35,3.58,1706
E01003876,0.32,0.43,0.32,0.16,0.16,0.48,0.32,0.69,0.69,0.43,3.99,1878
E01003877,0.33,0.53,0.33,0.2,0.0,0.4,0.2,0.72,0.59,0.4,3.69,1518
E01003878,0.4,0.53,0.4,0.2,0.2,0.6,0.2,0.6,0.87,0.4,4.4,1500
E01003879,0.33,0.53,0.33,0.2,0.2,0.53,0.2,0.73,0.6,0.4,4.06,1502
E01003880,0.32,0.52,0.39,0.13,0.19,0.52,0.19,0.58,0.71,0.39,3.95,1544
E01003881,0.27,0.43,0.32,0.11,0.0,0.32,0.27,0.43,0.43,0.32,2.9,1861
E01003882,0.25,0.4,0.3,0.15,0.15,0.45,0.3,0.65,0.55,0.3,3.48,2013
E01003883,0.29,0.39,0.29,0.15,0.1,0.39,0.15,0.54,0.54,0.29,3.14,2038
E01003884,0.34,0.46,0.17,0.17,0.17,0.51,0.34,0.74,0.51,0.34,3.76,1754
E01003885,0.39,0.52,0.32,0.19,0.13,0.52,0.32,0.84,0.71,0.52,4.48,1540
E01003886,0.19,0.5,0.37,0.19,0.19,0.56,0.31,0.81,0.81,0.37,4.28,1614
E01003887,0.28,0.44,0.28,0.17,0.0,0.5,0.28,0.72,0.61,0.44,3.72,1802
E01003888,0.29,0.38,0.29,0.14,0.14,0.43,0.24,0.62,0.53,0.29,3.37,2080
E01003889,0.36,0.48,0.36,0.18,0.18,0.54,0.3,0.79,0.67,0.36,4.24,1652
E01003890,0.3,0.37,0.3,0.18,0.18,0.49,0.12,0.67,0.67,0.37,3.65,1642
E01003891,0.28,0.45,0.34,0.17,0.11,0.62,0.28,0.73,0.62,0.34,3.94,1778
E01003892,0.15,0.39,0.1,0.1,0.15,0.29,0.15,0.63,0.53,0.29,2.76,2068
E01003893,0.3,0.48,0.36,0.12,0.12,0.48,0.36,0.79,0.48,0.36,3.88,1650
E01003894,0.3,0.36,0.36,0.12,0.12,0.48,0.3,0.66,0.66,0.36,3.71,1671
E01003895,0.29,0.47,0.35,0.12,0.12,0.47,0.17,0.64,0.64,0.35,3.61,1718
E01003896,0.31,0.41,0.26,0.16,0.16,0.57,0.31,0.67,0.57,0.31,3.72,1934
E01003897,0.31,0.41,0.31,0.15,0.15,0.56,0.26,0.66,0.56,0.31,3.68,1956
E01003898,0.29,0.46,0.35,0.17,0.17,0.52,0.29,0.63,0.63,0.35,3.85,1739
E01003899,0.34,0.41,0.34,0.2,0.14,0.54,0.34,0.88,0.61,0.41,4.22,1470
E01003900,0.35,0.47,0.35,0.18,0.18,0.53,0.29,0.65,0.65,0.47,4.12,1701
E01003901,0.32,0.32,0.27,0.16,0.16,0.43,0.11,0.43,0.6,0.32,3.14,1848
E01003902,0.43,0.43,0.22,0.22,0.22,0.58,0.22,0.8,0.65,0.43,4.19,1383
E01003903,0.3,0.48,0.36,0.18,0.12,0.54,0.36,0.67,0.79,0.36,4.17,1653
E01003904,0.31,0.37,0.37,0.19,0.12,0.56,0.19,0.56,0.68,0.37,3.73,1610
E01003905,0.45,0.6,0.45,0.23,0.23,0.45,0.23,0.83,0.68,0.45,4.61,1323
E01003906,0.35,0.46,0.17,0.17,0.17,0.46,0.17,0.46,0.63,0.35,3.4,1735
E01003907,0.35,0.46,0.35,0.17,0.12,0.52,0.17,0.52,0.64,0.35,3.65,1724
E01003908,0.33,0.44,0.33,0.17,0.17,0.44,0.28,0.61,0.61,0.33,3.72,1803
E01003909,0.37,0.49,0.37,0.18,0.18,0.67,0.37,0.79,0.67,0.37,4.45,1642
E01003910,0.36,0.36,0.3,0.18,0.12,0.36,0.18,0.48,0.66,0.36,3.35,1672
E01003911,0.23,0.38,0.28,0.14,0.14,0.42,0.23,0.61,0.61,0.38,3.43,2130
E01003912,0.26,0.31,0.31,0.15,0.15,0.41,0.26,0.57,0.46,0.41,3.29,1946
E01003913,0.28,0.38,0.28,0.14,0.14,0.43,0.24,0.61,0.61,0.28,3.4,2116
E01003914,0.31,0.41,0.31,0.16,0.16,0.47,0.26,0.67,0.57,0.31,3.62,1934
E01003915,0.32,0.42,0.27,0.16,0.16,0.48,0.16,0.48,0.58,0.32,3.34,1886
E01003916,0.21,0.33,0.25,0.12,0.12,0.37,0.25,0.54,0.37,0.33,2.92,2401
E01003917,0.26,0.42,0.31,0.16,0.16,0.47,0.31,0.58,0.58,0.31,3.57,1906
E01003918,0.4,0.53,0.4,0.2,0.2,0.6,0.33,0.6,0.73,0.53,4.53,1500
E01003919,0.31,0.5,0.37,0.19,0.19,0.56,0.37,0.81,0.56,0.37,4.23,1606
E01003920,0.24,0.39,0.24,0.15,0.15,0.44,0.29,0.53,0.63,0.39,3.44,2065
E01003921,0.27,0.43,0.32,0.16,0.16,0.59,0.32,0.69,0.69,0.43,4.05,1876
E01003922,0.26,0.35,0.26,0.13,0.13,0.39,0.26,0.57,0.48,0.35,3.18,2296
E01003923,0.3,0.48,0.36,0.18,0.18,0.48,0.3,0.78,0.48,0.36,3.89,1671
E01003924,0.28,0.37,0.28,0.09,0.14,0.42,0.28,0.6,0.51,0.28,3.24,2162
E01003925,0.3,0.4,0.3,0.15,0.1,0.3,0.3,0.65,0.65,0.3,3.44,2005
E01003926,0.35,0.56,0.42,0.21,0.21,0.56,0.42,0.9,0.62,0.56,4.79,1441
E01003929,0.3,0.4,0.3,0.15,0.15,0.55,0.3,0.65,0.55,0.4,3.76,1994
E01003930,0.3,0.4,0.3,0.15,0.15,0.45,0.3,0.65,0.45,0.3,3.44,2003
E01003932,0.38,0.51,0.38,0.19,0.19,0.58,0.38,0.83,0.58,0.38,4.42,1562
E01003933,0.25,0.34,0.25,0.13,0.13,0.46,0.25,0.55,0.46,0.25,3.08,2372
E01003934,0.26,0.41,0.31,0.15,0.15,0.46,0.31,0.67,0.46,0.41,3.6,1943
E01003935,0.45,0.67,0.45,0.22,0.15,0.67,0.45,0.97,0.67,0.6,5.29,1343
E01003936,0.33,0.44,0.33,0.17,0.17,0.5,0.33,0.72,0.61,0.33,3.91,1817
E01003937,0.32,0.52,0.39,0.19,0.19,0.71,0.39,0.84,0.71,0.52,4.8,1541
E01003938,0.32,0.43,0.32,0.16,0.16,0.48,0.27,0.69,0.59,0.43,3.83,1878
E01003939,0.3,0.4,0.3,0.15,0.15,0.55,0.3,0.65,0.55,0.3,3.67,1989
E01003940,0.32,0.51,0.38,0.19,0.19,0.51,0.32,0.7,0.7,0.38,4.19,1576
E01003941,0.31,0.41,0.31,0.15,0.15,0.46,0.31,0.67,0.57,0.31,3.65,1943
E01003942,0.31,0.42,0.31,0.16,0.16,0.42,0.26,0.57,0.47,0.42,3.49,1919
E01003943,0.34,0.54,0.41,0.2,0.2,0.61,0.41,0.88,0.75,0.41,4.76,1472
E01003945,0.34,0.45,0.34,0.17,0.11,0.45,0.28,0.51,0.62,0.34,3.62,1768
E01003946,0.27,0.43,0.32,0.16,0.16,0.48,0.27,0.59,0.59,0.32,3.59,1864
E01003947,0.31,0.37,0.37,0.18,0.18,0.67,0.37,0.8,0.8,0.49,4.53,1632
E01003948,0.29,0.46,0.34,0.17,0.17,0.46,0.34,0.74,0.63,0.34,3.94,1753
E01003949,0.26,0.42,0.31,0.16,0.1,0.42,0.31,0.67,0.57,0.31,3.53,1927
E01003950,0.25,0.4,0.3,0.15,0.15,0.4,0.25,0.65,0.55,0.3,3.42,1991
E01003951,0.4,0.53,0.4,0.2,0.13,0.53,0.4,0.87,0.73,0.4,4.6,1500
E01003952,0.3,0.48,0.36,0.18,0.18,0.54,0.36,0.77,0.66,0.36,4.17,1678
E01003953,0.25,0.4,0.3,0.15,0.15,0.4,0.3,0.64,0.54,0.4,3.51,2022
E01003954,0.3,0.36,0.3,0.12,0.12,0.54,0.18,0.67,0.54,0.36,3.51,1654
E01003955,0.26,0.42,0.26,0.16,0.11,0.32,0.26,0.58,0.47,0.42,3.26,1900
E01003956,0.27,0.43,0.32,0.11,0.11,0.48,0.27,0.69,0.59,0.32,3.58,1871
E01003957,0.27,0.44,0.27,0.16,0.16,0.49,0.27,0.44,0.6,0.33,3.45,1828
E01003958,0.26,0.41,0.26,0.1,0.15,0.41,0.31,0.66,0.56,0.41,3.52,1960
E01003960,0.32,0.43,0.32,0.16,0.11,0.48,0.27,0.58,0.48,0.32,3.46,1881
E01003961,0.29,0.39,0.29,0.15,0.15,0.44,0.29,0.63,0.54,0.29,3.46,2052
E01003963,0.35,0.47,0.35,0.18,0.18,0.64,0.35,0.76,0.64,0.47,4.38,1714
E01003966,0.28,0.37,0.28,0.14,0.14,0.42,0.28,0.61,0.51,0.37,3.4,2147
E01003969,0.24,0.32,0.24,0.12,0.12,0.44,0.24,0.52,0.44,0.24,2.91,2508
E01003971,0.41,0.55,0.41,0.2,0.2,0.61,0.34,0.61,0.61,0.41,4.37,1466
E01003972,0.4,0.53,0.4,0.2,0.2,0.59,0.4,0.86,0.59,0.4,4.55,1518
E01003973,0.3,0.48,0.36,0.18,0.18,0.53,0.36,0.77,0.65,0.48,4.28,1683
E01003975,0.34,0.45,0.34,0.17,0.17,0.5,0.34,0.73,0.61,0.34,3.97,1790
E01003976,0.22,0.35,0.26,0.13,0.13,0.39,0.26,0.56,0.47,0.26,3.02,2318
E01003977,0.26,0.42,0.32,0.16,0.16,0.47,0.32,0.69,0.58,0.42,3.8,1896
E01003979,0.29,0.39,0.29,0.15,0.15,0.44,0.29,0.64,0.64,0.29,3.57,2045
E01003980,0.25,0.39,0.3,0.15,0.15,0.44,0.3,0.64,0.54,0.39,3.55,2028
E01003981,0.37,0.49,0.37,0.18,0.18,0.55,0.37,0.8,0.8,0.37,4.49,1627
E01003983,0.32,0.42,0.32,0.11,0.16,0.48,0.26,0.69,0.69,0.32,3.75,1893
E01003984,0.26,0.39,0.26,0.13,0.13,0.39,0.26,0.56,0.48,0.26,3.12,2304
E01003986,0.38,0.5,0.38,0.19,0.19,0.69,0.38,0.81,0.56,0.38,4.44,1598
E01003987,0.33,0.44,0.33,0.16,0.16,0.49,0.16,0.71,0.6,0.44,3.81,1839
E01003988,0.29,0.39,0.29,0.15,0.15,0.44,0.29,0.63,0.63,0.39,3.64,2060
E01003989,0.26,0.35,0.26,0.13,0.13,0.4,0.26,0.57,0.4,0.35,3.13,2265
E01003990,0.22,0.35,0.26,0.13,0.13,0.39,0.22,0.47,0.47,0.35,2.98,2316
E01003991,0.38,0.61,0.46,0.23,0.23,0.68,0.38,0.68,0.68,0.68,5.02,1316
E01003992,0.37,0.37,0.37,0.18,0.18,0.55,0.31,0.55,0.68,0.37,3.93,1628
E01003993,0.25,0.39,0.29,0.15,0.1,0.39,0.29,0.54,0.54,0.39,3.33,2040
E01003994,0.34,0.45,0.34,0.17,0.17,0.62,0.34,0.74,0.74,0.34,4.26,1760
E01003995,0.36,0.58,0.43,0.22,0.14,0.65,0.36,0.94,0.65,0.43,4.76,1386
E01003997,0.39,0.62,0.47,0.23,0.23,0.7,0.39,1.01,0.7,0.62,5.38,1282
E01003998,0.42,0.42,0.42,0.21,0.21,0.63,0.21,0.77,0.63,0.42,4.36,1421
E01003999,0.33,0.53,0.4,0.2,0.13,0.6,0.33,0.6,0.73,0.53,4.41,1498
E01004000,0.25,0.4,0.3,0.15,0.15,0.45,0.3,0.55,0.55,0.3,3.4,1998
E01004001,0.27,0.44,0.33,0.16,0.16,0.44,0.33,0.71,0.6,0.33,3.78,1823
E01004002,0.29,0.47,0.29,0.17,0.17,0.47,0.29,0.52,0.64,0.35,3.67,1715
E01004003,0.32,0.43,0.32,0.16,0.16,0.49,0.32,0.7,0.59,0.32,3.84,1850
E01004004,0.23,0.3,0.23,0.11,0.11,0.34,0.23,0.49,0.42,0.23,2.68,2645
E01004005,0.26,0.34,0.26,0.13,0.13,0.39,0.26,0.56,0.56,0.34,3.22,2328
E01004006,0.31,0.31,0.26,0.16,0.16,0.47,0.26,0.47,0.58,0.31,3.3,1910
E01004007,0.34,0.55,0.34,0.21,0.21,0.55,0.41,0.89,0.76,0.55,4.81,1455
E01004008,0.24,0.38,0.29,0.14,0.14,0.43,0.24,0.62,0.53,0.29,3.3,2088
E01004010,0.39,0.58,0.39,0.19,0.19,0.58,0.39,0.84,0.71,0.39,4.66,1544
E01004011,0.24,0.38,0.28,0.14,0.14,0.43,0.24,0.52,0.62,0.28,3.27,2108
E01004012,0.25,0.33,0.25,0.12,0.12,0.38,0.25,0.38,0.54,0.33,2.96,2400
E01004013,0.36,0.48,0.36,0.12,0.18,0.54,0.3,0.66,0.66,0.36,4.0,1675
E01004014,0.28,0.38,0.28,0.14,0.14,0.52,0.28,0.42,0.42,0.28,3.14,2133
E01004015,0.28,0.45,0.33,0.17,0.17,0.5,0.28,0.73,0.5,0.45,3.85,1793
E01004016,0.19,0.31,0.19,0.12,0.12,0.35,0.19,0.5,0.42,0.23,2.62,2593
E01004017,0.3,0.3,0.36,0.12,0.18,0.48,0.3,0.54,0.66,0.48,3.72,1668
E01004018,0.26,0.41,0.31,0.15,0.15,0.46,0.31,0.67,0.56,0.41,3.7,1947
E01004019,0.27,0.36,0.27,0.14,0.14,0.36,0.23,0.59,0.5,0.27,3.14,2196
E01004020,0.29,0.46,0.34,0.11,0.17,0.34,0.29,0.51,0.51,0.34,3.38,1748
E01004021,0.23,0.38,0.23,0.14,0.09,0.38,0.28,0.61,0.61,0.28,3.24,2129
E01004023,0.36,0.48,0.36,0.18,0.18,0.54,0.36,0.78,0.66,0.36,4.27,1664
E01004024,0.29,0.39,0.29,0.15,0.15,0.44,0.29,0.64,0.54,0.29,3.48,2041
E01004028,0.25,0.33,0.25,0.12,0.12,0.37,0.25,0.54,0.37,0.25,2.85,2422
E01004029,0.25,0.4,0.3,0.1,0.15,0.45,0.25,0.55,0.55,0.3,3.28,2010
E01004030,0.33,0.52,0.39,0.2,0.2,0.59,0.39,0.85,0.59,0.39,4.46,1526
E01004031,0.23,0.31,0.23,0.12,0.12,0.43,0.23,0.51,0.51,0.31,3.01,2560
E01004032,0.32,0.52,0.32,0.19,0.19,0.52,0.39,0.58,0.71,0.39,4.14,1545
E01004033,0.24,0.32,0.24,0.12,0.12,0.37,0.24,0.53,0.45,0.32,2.97,2462
E01004034,0.38,0.5,0.38,0.19,0.13,0.56,0.31,0.82,0.69,0.5,4.45,1594
E01004035,0.33,0.53,0.4,0.2,0.2,0.53,0.4,0.87,0.73,0.4,4.59,1502
E01004036,0.28,0.37,0.28,0.14,0.09,0.51,0.28,0.6,0.51,0.28,3.34,2155
E01004037,0.25,0.39,0.29,0.15,0.15,0.54,0.29,0.64,0.64,0.29,3.63,2039
E01004038,0.21,0.33,0.25,0.12,0.12,0.45,0.21,0.53,0.45,0.25,2.92,2434
E01004039,0.38,0.5,0.38,0.19,0.19,0.57,0.38,0.82,0.69,0.38,4.48,1586
E01004040,0.26,0.42,0.31,0.16,0.16,0.58,0.31,0.68,0.58,0.31,3.78,1906
E01004041,0.37,0.37,0.37,0.18,0.18,0.55,0.31,0.8,0.67,0.37,4.16,1633
E01004042,0.3,0.4,0.3,0.15,0.15,0.45,0.3,0.66,0.56,0.4,3.69,1979
E01004043,0.44,0.58,0.44,0.22,0.15,0.58,0.44,0.95,0.95,0.44,5.18,1371
E01004044,0.42,0.42,0.42,0.21,0.21,0.63,0.35,0.76,0.9,0.42,4.73,1438
E01004045,0.38,0.5,0.38,0.19,0.19,0.57,0.32,0.69,0.57,0.5,4.29,1585
E01004046,0.32,0.51,0.39,0.19,0.13,0.51,0.32,0.71,0.71,0.39,4.17,1558
E01004047,0.3,0.36,0.36,0.18,0.18,0.48,0.3,0.67,0.67,0.36,3.87,1652
E01004048,0.31,0.37,0.37,0.19,0.19,0.56,0.37,0.81,0.68,0.37,4.22,1612
E01004049,0.37,0.49,0.37,0.18,0.18,0.55,0.31,0.8,0.68,0.49,4.43,1625
E01004050,0.35,0.56,0.35,0.21,0.21,0.56,0.35,0.77,0.77,0.42,4.56,1427
E01004051,0.37,0.59,0.44,0.15,0.15,0.66,0.37,0.95,0.66,0.44,4.77,1363
E01004052,0.28,0.44,0.33,0.17,0.17,0.5,0.33,0.72,0.61,0.44,3.98,1807
E01004053,0.26,0.42,0.31,0.1,0.1,0.47,0.26,0.68,0.58,0.31,3.52,1905
E01004054,0.32,0.51,0.39,0.19,0.19,0.58,0.32,0.83,0.71,0.39,4.43,1558
E01004055,0.38,0.38,0.46,0.15,0.15,0.61,0.38,0.61,0.84,0.46,4.45,1303
E01004056,0.21,0.34,0.26,0.13,0.13,0.39,0.21,0.56,0.39,0.26,2.88,2328
E01004057,0.28,0.37,0.28,0.14,0.14,0.41,0.23,0.51,0.51,0.28,3.12,2178
E01004058,0.35,0.47,0.35,0.18,0.12,0.53,0.29,0.64,0.64,0.35,3.91,1714
E01004059,0.3,0.39,0.3,0.15,0.1,0.44,0.3,0.54,0.54,0.39,3.45,2030
E01004060,0.3,0.4,0.3,0.15,0.15,0.45,0.25,0.65,0.55,0.3,3.49,2005
E01004061,0.36,0.48,0.3,0.18,0.18,0.54,0.36,0.79,0.66,0.36,4.23,1656
E01004062,0.23,0.36,0.27,0.14,0.14,0.59,0.27,0.59,0.5,0.36,3.45,2202
E01004063,0.26,0.41,0.31,0.15,0.15,0.41,0.31,0.67,0.57,0.41,3.66,1942
E01004064,0.26,0.42,0.31,0.16,0.16,0.42,0.26,0.68,0.57,0.42,3.64,1922
E01004065,0.33,0.53,0.4,0.13,0.13,0.53,0.33,0.87,0.73,0.4,4.41,1497
E01004066,0.24,0.38,0.28,0.14,0.14,0.38,0.28,0.52,0.52,0.38,3.25,2124
E01004067,0.22,0.4,0.27,0.13,0.13,0.49,0.27,0.58,0.49,0.27,3.28,2223
E01004068,0.3,0.4,0.3,0.15,0.15,0.45,0.3,0.65,0.55,0.3,3.55,1998
