LSOA11CD,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,centroid_lon,centroid_lat
E01000136,0.5,0.8,0.6,0.3,0.3,0.8,0.5,1.1,1.1,0.6,6.6,525464.1490969423,186869.04323361674
E01000137,0.6,0.8,0.6,0.3,0.2,0.9,0.5,0.9,1.1,0.8,6.7,524805.7645758255,186580.815995107
E01000138,0.5,0.8,0.6,0.3,0.3,0.9,0.2,0.9,1.1,0.8,6.3999999999999995,524461.1986468039,186549.09275213603
E01000139,0.5,0.8,0.6,0.3,0.3,0.9,0.5,1.3,0.9,0.6,6.699999999999999,524721.8512699805,185997.95402516745
E01000140,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.1,525101.4902156205,186406.79471534997
E01000141,0.6,0.8,0.6,0.3,0.3,1.1,0.6,1.3,1.3,0.6,7.499999999999999,523766.00500921486,186105.74162007376
E01000142,0.5,0.8,0.6,0.3,0.2,0.8,0.5,0.8,1.1,0.6,6.199999999999999,524099.73425259,186309.8864621527
E01000143,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.0,524297.8526062253,185870.0438875212
E01000144,0.6,0.8,0.6,0.3,0.3,0.9,0.5,1.3,1.1,0.8,7.2,524903.0079593359,187680.2200628388
E01000145,0.5,0.8,0.6,0.3,0.2,0.9,0.5,1.1,0.9,0.6,6.4,524455.2010103129,187501.9178367613
E01000146,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.8,7.3,525007.1815842192,187265.88149104768
E01000147,0.6,0.8,0.6,0.3,0.3,0.9,0.5,1.1,1.3,0.8,7.199999999999999,521377.60342611035,189334.59981842243
